,BATT,CHRG,CO,CO2,NO2,O3,PM1,PM10,PM25,RH,RUN,SD,SO2,T,raw1,raw2,raw3,raw4,raw5,raw6,raw7,raw8,stat2
2024-01-05 15:00:00,4.06647058823529,404.266470588235,636.814705882353,4.11764705882353,52.6794117647059,30.2082352941177,7.02941176470588,12.7647058823529,10.4117647058824,51.9411764705882,89.5494117647059,1,-54.4041176470588,24.9117647058824,-93.2352941176471,215.352941176471,18,-4.64705882352941,6.11764705882353,-5.29411764705882,6.41176470588235,-30.5882352941176,0
2024-01-05 16:00:00,4.0434375,93.8403125,608.9309375,37.3125,60.0503125,29.1165625,6.90625,12.3828125,10.1640625,54.584375,94.6959375,1,-51.4646875,23.140625,-84.4375,217.59375,14.71875,-8.40625,6.53125,-9.5625,7.15625,-33.53125,0
2024-01-05 17:00:00,4.01,12.5235483870968,608.606451612903,113.548387096774,77.9132258064516,24.2148387096774,7.75,14.2903225806452,11.5483870967742,61,101.546451612903,1,-47.4238709677419,20.541935483871,-76.4838709677419,240.870967741935,11,-13.2903225806452,5,-21.1935483870968,6.2258064516129,-45.6451612903226,0
2024-01-05 18:00:00,3.98028571428572,0,674.114571428571,246.714285714286,86.0334285714286,15.8045714285714,8.46428571428571,15.7214285714286,12.4928571428571,68.9857142857143,106.141714285714,1,-25.4428571428571,18.6628571428572,-64.1142857142857,338.657142857143,9.2,-5.2,2.91428571428571,-27.3714285714286,6,-45.4285714285714,0
2024-01-05 19:00:00,3.96024390243902,0,762.999512195122,531.146341463415,86.5807317073171,4.8180487804878,9.24390243902439,16.9878048780488,13.609756097561,78.4341463414634,106.992682926829,1,-3.5780487804878,17.4073170731707,-55.6585365853659,440.707317073171,8.02439024390244,3.48780487804878,1.07317073170732,-29.2682926829268,2.58536585365854,-42,0
2024-01-05 20:00:00,3.94,0,716.14,853.575,79.7935,10.14925,8.53125,16.1875,12.7875,83.0375,104.91525,1,-15.2655,16.5975,-49.475,415.7,8,-2.525,0,-26.625,0.375,-43.375,0
2024-01-05 21:00:00,3.92463414634146,0,639.936829268292,1071.43902439024,71.1658536585366,12.8826829268293,8.20731707317073,15.7012195121951,12.4268292682927,85.1170731707317,108.211707317073,1,-15.4612195121951,16.1170731707317,-45.6585365853659,358.926829268293,7.46341463414634,-3.65853658536585,-0.487804878048781,-22.5609756097561,-0.121951219512195,-38.9268292682927,0
2024-01-05 22:00:00,3.90738095238095,0,579.61880952381,1390.85714285714,66.5116666666667,14.9885714285714,8.48214285714286,16.3630952380952,12.9166666666667,86.1785714285714,108.358333333333,1,-14.9347619047619,15.6785714285714,-44.1904761904762,310.452380952381,7,-4.28571428571429,-1.07142857142857,-20.5,-0.952380952380952,-37.8333333333333,0
2024-01-05 23:00:00,3.88952380952381,0,499.403095238095,1402.28571428571,60.1759523809524,19.41,8.13095238095238,15.4880952380952,12.2857142857143,86.402380952381,106.593571428571,1,-23.9642857142857,15.8619047619048,-45.5714285714286,239.119047619048,7,-7.45238095238095,-1.54761904761905,-17.2380952380952,-1.69047619047619,-37.1428571428572,0
2024-01-06 00:00:00,3.87341463414634,0,520.09756097561,1372.87804878049,56.9217073170732,20.4558536585366,8.23170731707317,15.6951219512195,12.4390243902439,86.4585365853658,110.215365853659,1,-20.5412195121951,15.7317073170732,-44.5853658536585,258.853658536585,7,-6.14634146341463,-1.21951219512195,-15.1707317073171,-1.04878048780488,-33.6585365853659,0
